Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),,,,,
158,0.05,0.01,0,0.0392,-0.0166,-1.0067,0,0,0,,,,,
160,0.04,0.01,0,0.0391,-0.0166,-1.0069,0,0,0,,,,,
162,0.04,0.01,0,0.0391,-0.0167,-1.0069,0,0,0,,,,,
164,0.04,0.01,0,0.039,-0.0166,-1.0071,0,0,0,,,,,
166,0.04,0.02,0,0.039,-0.0167,-1.0069,0,0,0,,,,,
168,0.04,0.01,0,0.0389,-0.0168,-1.0068,0,0,0,,,,,
170,0.05,0.01,0,0.0387,-0.0168,-1.0069,0,0,0,,,,,
172,0.05,0.01,0.01,0.0387,-0.0167,-1.0068,0,0,0,,,,,
174,0.05,0.01,0.01,0.0386,-0.0165,-1.007,0,0,0,,,,,
176,0.05,0.01,0.01,0.0386,-0.0163,-1.0071,0,0,0,,,,,
178,0.05,0.01,0.02,0.0385,-0.0163,-1.007,0,0,0,,,,,
180,0.04,0.01,0.02,0.0386,-0.0164,-1.0068,0,0,0,,,,,
182,0.04,0.01,0.01,0.0385,-0.0164,-1.0069,0,0,0,,,,,
185,0.03,0.01,0.01,0.0384,-0.0164,-1.0069,0,0,0,,,,,
187,0.03,0.01,0,0.0382,-0.0165,-1.0069,0,0,0,,,,,
189,0.04,0.02,0.01,0.0382,-0.0163,-1.007,0,0,0,,,,,
191,0.04,0.02,0.01,0.0383,-0.0163,-1.0069,0,0,0,,,,,
193,0.04,0.02,0.01,0.0383,-0.0163,-1.0068,0,0,0,,,,,
195,0.04,0.01,0.01,0.0384,-0.0163,-1.0066,0,0,0,,,,,
197,0.03,0,0.01,0.0385,-0.0162,-1.0066,0,0,0,,,,,
199,0.03,0,0.01,0.0386,-0.0162,-1.0065,0,0,0,,,,,
201,0.03,0,0,0.0388,-0.0162,-1.0064,0,0,0,,,,,
203,0.03,0,0,0.0389,-0.0163,-1.0063,0,0,0,,,,,
205,0.03,0,0,0.039,-0.0163,-1.0062,0,0,0,,,,,
207,0.03,0,0,0.039,-0.0164,-1.006,0,0,0,,,,,
209,0.03,0,-0.01,0.0391,-0.0164,-1.0059,0,0,0,,,,,
211,0.04,0,-0.01,0.0391,-0.0163,-1.006,0,0,0,,,,,
213,0.04,0.01,0,0.0391,-0.0163,-1.006,0,0,0,,,,,
215,0.04,0.01,0,0.0391,-0.0164,-1.006,0,0,0,,,,,
218,0.04,0.01,0.01,0.0393,-0.0164,-1.0059,0,0,0,,,,,
220,0.04,0.01,0,0.0393,-0.0165,-1.0057,0,0,0,,,,,
222,0.04,0.01,0,0.0394,-0.0166,-1.0056,0,0,0,,,,,
224,0.04,0.02,0,0.0395,-0.0166,-1.0057,0,0,0,,,,,
226,0.04,0.02,0,0.0394,-0.0167,-1.0059,0,0,0,,,,,
228,0.04,0.02,0.01,0.0391,-0.0167,-1.0059,0,0,0,,,,,
230,0.04,0.02,0.01,0.0389,-0.0168,-1.0061,0,0,0,,,,,
232,0.04,0.02,0.01,0.0389,-0.0167,-1.0061,0,0,0,,,,,
234,0.04,0.02,0.01,0.039,-0.0166,-1.0061,0,0,0,,,,,
236,0.04,0.03,0.01,0.0391,-0.0166,-1.0061,0,0,0,,,,,
238,0.04,0.03,0.01,0.039,-0.0167,-1.0061,0,0,0,,,,,
240,0.04,0.02,0.02,0.039,-0.0168,-1.0059,0,0,0,,,,,
242,0.04,0.02,0.02,0.0389,-0.0168,-1.0057,0,0,0,,,,,
244,0.04,0.02,0.02,0.0389,-0.0166,-1.0057,0,0,0,,,,,
246,0.04,0.03,0.02,0.0389,-0.0165,-1.0057,0,0,0,,,,,
248,0.04,0.04,0.02,0.0389,-0.0163,-1.0058,0,0,0,,,,,
251,0.04,0.04,0.03,0.0389,-0.0163,-1.0057,0,0,0,,,,,
