Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G),,,,,
3041,0.05,-0.03,-0.01,0.0385,-0.0172,-1.0059,0,0,0,,,,,
3043,0.05,-0.02,-0.01,0.0384,-0.0173,-1.0061,0,0,0,,,,,
3045,0.05,-0.02,-0.01,0.0384,-0.0174,-1.0062,0,0,0,,,,,
3047,0.04,-0.02,-0.01,0.0384,-0.0173,-1.0063,0,0,0,,,,,
3049,0.04,-0.01,-0.01,0.0385,-0.0172,-1.0063,0,0,0,,,,,
3051,0.03,-0.01,-0.01,0.0386,-0.0173,-1.0065,0,0,0,,,,,
3054,0.03,-0.01,-0.02,0.0386,-0.0172,-1.0067,0,0,0,,,,,
3056,0.02,-0.01,-0.02,0.0388,-0.0171,-1.0067,0,0,0,,,,,
3058,0.02,-0.02,-0.02,0.0389,-0.017,-1.0066,0,0,0,,,,,
3060,0.03,-0.02,-0.02,0.0391,-0.017,-1.0065,0,0,0,,,,,
3062,0.03,-0.02,-0.02,0.0392,-0.0169,-1.0064,0,0,0,,,,,
3064,0.03,-0.01,-0.01,0.0392,-0.0169,-1.0065,0,0,0,,,,,
3066,0.03,0,-0.01,0.0392,-0.0169,-1.0066,0,0,0,,,,,
3068,0.03,0.01,-0.01,0.0393,-0.0169,-1.0067,0,0,0,,,,,
3070,0.03,0.01,-0.01,0.0394,-0.017,-1.0065,0,0,0,,,,,
3072,0.03,0.02,-0.01,0.0393,-0.0169,-1.0063,0,0,0,,,,,
3074,0.03,0.02,-0.01,0.0393,-0.0167,-1.0062,0,0,0,,,,,
3076,0.03,0.01,-0.01,0.0392,-0.0164,-1.0062,0,0,0,,,,,
3078,0.03,0.01,-0.01,0.0392,-0.0164,-1.0065,0,0,0,,,,,
3080,0.04,0.01,-0.01,0.039,-0.0165,-1.0066,0,0,0,,,,,
3082,0.04,0.02,0,0.0389,-0.0165,-1.0066,0,0,0,,,,,
3086,0.05,0.02,0,0.0389,-0.0166,-1.0067,0,0,0,,,,,
3089,0.05,0,,,,,0,0,0,,,,,
3091,11.41,51.75,-106.32,0.1841,0.929,0.1413,0,0,0,,,,,
3093,11.87,44.12,-98.95,0.1524,0.9372,0.1443,0,0,0,,,,,
3095,16.32,26.17,-87.13,0.0954,0.9455,0.1488,0,0,0,,,,,
3097,23.31,4.44,-75.18,0.0431,0.9655,0.1402,0,0,0,,,,,
3099,26.94,-11.04,-62.39,0.0309,0.9681,0.1306,0,0,0,,,,,
3101,26.62,-16.46,-54.7,0.0319,0.9667,0.1287,0,0,0,,,,,
3103,25.77,-20.18,-47.36,0.0136,0.9642,0.1275,0,0,0,,,,,
3105,22.71,-19.51,-42.25,-0.0103,0.9663,0.1105,0,0,0,,,,,
3107,16.3,-13.94,-34.06,-0.0327,0.969,0.0934,0,0,0,,,,,
3109,10.04,-8.62,-23.85,-0.0624,0.9662,0.0881,0,0,0,,,,,
3111,6.14,-6.93,-16.42,-0.0881,0.9674,0.0814,0,0,0,,,,,
3113,3.88,-6.9,-11.6,-0.0984,0.9681,0.0747,0,0,0,,,,,
3115,1.9,-4.96,-3.52,-0.1007,0.9714,0.0725,0,0,0,,,,,
3117,1.51,-2.14,3.14,-0.0927,0.9681,0.0767,0,0,0,,,,,
3119,2.4,-1.93,4.99,-0.08,0.9676,0.0791,0,0,0,,,,,
3122,3.5,-2.91,4.15,-0.0748,0.9667,0.0772,0,0,0,,,,,
3124,4.16,-4.15,3.43,-0.0746,0.9675,0.0713,0,0,0,,,,,
3126,4.43,-3.7,3.74,-0.0729,0.9668,0.0694,0,0,0,,,,,
3128,3.62,-3.32,3.97,-0.0714,0.9674,0.0668,0,0,0,,,,,
3130,3.32,-3.07,4.12,-0.0696,0.9682,0.0659,0,0,0,,,,,
3132,2.96,-3.11,4.67,-0.0697,0.9684,0.0639,0,0,0,,,,,
3134,1.9,-3.17,5.7,-0.0652,0.9696,0.0625,0,0,0,,,,,
3136,0.9,-2,5.97,-0.0451,0.9732,0.0686,0,0,0,,,,,
3138,0.27,-3.73,10.01,-0.0435,0.9724,0.0696,0,0,0,,,,,
3140,0.79,-6.97,10.66,-0.0434,0.9719,0.0668,0,0,0,,,,,
3142,0.31,-7.21,9.32,-0.043,0.9729,0.0628,0,0,0,,,,,
3144,-0.23,-6.27,8.75,-0.0414,0.9731,0.0626,0,0,0,,,,,
3146,-0.71,-5.94,8.46,-0.0436,0.9688,0.0569,0,0,0,,,,,
3148,-0.68,-6.33,5.81,-0.0488,0.9702,0.0559,0,0,0,,,,,
3150,-1.06,-3.07,2.32,-0.0438,0.971,0.0578,0,0,0,,,,,
3152,-2.06,-0.44,2.6,-0.0376,0.9713,0.0621,0,0,0,,,,,
3155,-2.58,-0.39,3.85,-0.0308,0.9697,0.0656,0,0,0,,,,,
3157,-2.28,-0.41,4.12,-0.0288,0.9707,0.0674,0,0,0,,,,,
3159,-1.99,-0.24,4.41,-0.0279,0.9708,0.0684,0,0,0,,,,,
3161,-1.25,-0.13,4.73,-0.0244,0.9702,0.0701,0,0,0,,,,,
3163,-0.85,-0.33,4.42,-0.0199,0.9698,0.069,0,0,0,,,,,
3165,-0.41,-0.26,4.17,-0.018,0.9707,0.0697,0,0,0,,,,,
3167,0.18,-0.39,4.19,-0.0165,0.9702,0.0699,0,0,0,,,,,
3169,0.38,-0.5,4.25,-0.015,0.9702,0.0696,0,0,0,,,,,
3171,0.55,-0.34,4.14,-0.0125,0.9705,0.0693,0,0,0,,,,,
3173,0.64,-0.38,3.87,-0.0105,0.9699,0.0684,0,0,0,,,,,
3175,0.71,-0.25,3.67,-0.0077,0.9699,0.068,0,0,0,,,,,
3177,0.75,0.02,3.44,-0.0072,0.9707,0.0683,0,0,0,,,,,
3179,0.83,0.31,3.17,-0.0049,0.9704,0.0684,0,0,0,,,,,
3181,1.1,0.29,2.65,-0.0026,0.9707,0.0683,0,0,0,,,,,
3183,1.1,0.29,2.11,-0.0009,0.9702,0.0668,0,0,0,,,,,
3185,1,0.46,1.46,-0.0014,0.9712,0.0667,0,0,0,,,,,
3188,1.05,0.56,1.3,-0.0011,0.9705,0.0661,0,0,0,,,,,
3190,0.65,0.33,1.38,-0.0011,0.9706,0.0651,0,0,0,,,,,
3192,0.27,0.33,1.43,0.0008,0.9699,0.0648,0,0,0,,,,,
3194,-0.49,0.46,1.36,0.0009,0.9697,0.0643,0,0,0,,,,,
3196,-1.77,0.92,1.7,0.0042,0.9683,0.0677,0,0,0,,,,,
3198,-2.58,0.94,2.2,0.0044,0.9686,0.0692,0,0,0,,,,,
3200,-2.58,0.21,1.46,0.0049,0.9694,0.0694,0,0,0,,,,,
3202,-2.45,-0.28,0.24,0.0055,0.9685,0.0683,0,0,0,,,,,
3204,-2.68,-0.21,-0.33,0.0028,0.9691,0.0678,0,0,0,,,,,
3206,-3.12,0.22,-0.07,0.0017,0.9695,0.0695,0,0,0,,,,,
3208,-3.06,0.31,0.19,0.0011,0.9692,0.072,0,0,0,,,,,
3210,-1.67,-0.16,-0.02,-0.0019,0.9705,0.0729,0,0,0,,,,,
3212,-1.52,0.33,0.6,0.0012,0.9692,0.0717,0,0,0,,,,,
3214,-1.81,1.2,1.9,0.0025,0.9697,0.0753,0,0,0,,,,,
3216,-1.58,1.08,2.23,0.0042,0.9699,0.0771,0,0,0,,,,,
3219,-1.02,0.72,2.64,0.0055,0.9706,0.0771,0,0,0,,,,,
3222,-0.87,0.54,2.78,0.0066,0.97,0.0766,0,0,0,,,,,
3224,-0.7,0.37,2.76,0.0091,0.9702,0.0781,0,0,0,,,,,
3226,-0.2,0.13,2.16,0.0106,0.9699,0.0787,0,0,0,,,,,
3228,0.13,-0.4,1.83,0.0121,0.9696,0.0786,0,0,0,,,,,
3230,0.39,-0.66,1.49,0.0114,0.9697,0.0785,0,0,0,,,,,
3232,0.46,-0.62,1.32,0.0112,0.9699,0.0777,0,0,0,,,,,
3234,0.28,-0.51,1.17,0.0122,0.9694,0.0774,0,0,0,,,,,
3236,0.12,-0.34,1.15,0.0117,0.9697,0.0778,0,0,0,,,,,
3238,0.16,-0.46,1.44,0.0122,0.9695,0.0777,0,0,0,,,,,
3240,-0.04,-0.34,1.64,0.0136,0.9699,0.0772,0,0,0,,,,,
3242,-0.37,-0.07,1.46,0.0153,0.9689,0.0767,0,0,0,,,,,
3244,-0.79,0.04,1.5,0.0145,0.9695,0.0776,0,0,0,,,,,
3246,-1.03,0.47,1.42,0.0158,0.9694,0.0789,0,0,0,,,,,
3248,-1.32,0.7,1.05,0.0162,0.9698,0.0794,0,0,0,,,,,
3250,-1.48,0.88,0.97,0.0165,0.9697,0.0802,0,0,0,,,,,
3252,-1.37,1.05,0.99,0.0163,0.9702,0.0819,0,0,0,,,,,
3255,-0.68,0.67,0.63,0.0185,0.9696,0.0825,0,0,0,,,,,
3257,-0.19,0.28,0.48,0.0184,0.9699,0.0805,0,0,0,,,,,
3259,-0.19,0.29,0.64,0.0187,0.9693,0.081,0,0,0,,,,,
3261,-0.08,0.24,0.75,0.0182,0.9698,0.0816,0,0,0,,,,,
3263,0.34,0.09,1.33,0.0184,0.9691,0.0815,0,0,0,,,,,
3265,0.1,-0.06,2.61,0.0157,0.9709,0.0793,0,0,0,,,,,
3267,-0.32,0.14,4.03,0.0158,0.9713,0.0791,0,0,0,,,,,
3269,-1.2,1.09,6.3,0.0184,0.9701,0.0798,0,0,0,,,,,
3271,-1.93,1.84,8.74,0.0214,0.973,0.0809,0,0,0,,,,,
3273,-2.16,1.38,12.72,0.0256,0.9724,0.0798,0,0,0,,,,,
3275,-3.31,0.81,15.63,0.0371,0.9694,0.0826,0,0,0,,,,,
3277,-4.15,0.74,16.75,0.0468,0.9681,0.0878,0,0,0,,,,,
3279,-4.36,-0.37,17.35,0.051,0.9688,0.0885,0,0,0,,,,,
3281,-5.42,-3.59,20.41,0.0632,0.9687,0.0859,0,0,0,,,,,
3283,-9.74,-10.65,25.24,0.0788,0.9625,0.0861,0,0,0,,,,,
3285,-15.11,-23.42,32.74,0.0918,0.9635,0.0915,0,0,0,,,,,
3288,-18.09,-35.62,41.29,0.1021,0.9618,0.0968,0,0,0,,,,,
3290,-20.23,-55.8,59.45,0.1238,0.955,0.1083,0,0,0,,,,,
3292,-19.19,-71.96,75.93,0.1566,0.9455,0.1167,0,0,0,,,,,
3294,-15.45,-77.82,87.16,0.2008,0.9365,0.1213,0,0,0,,,,,
3296,-11.84,-74.39,92.59,0.2372,0.9256,0.1214,0,0,0,,,,,
3298,-5.87,-61.84,99.43,0.2971,0.9068,0.1126,0,0,0,,,,,
3300,1.99,-47.73,93.15,0.353,0.8955,0.1031,0,0,0,,,,,
3302,6.84,-36.48,83.92,0.4087,0.8798,0.0907,0,0,0,,,,,
3304,9.51,-32.52,82.42,0.4367,0.8713,0.0842,0,0,0,,,,,
3306,13.66,-32.21,89.31,0.4895,0.8538,0.0749,0,0,0,,,,,
3308,16.86,-33.39,103.39,0.5346,0.828,0.0634,0,0,0,,,,,
3310,18.16,-28.96,114.13,0.5848,0.7823,0.0464,0,0,0,,,,,
3312,16.67,-20.33,127.62,0.6419,0.7301,0.0374,0,0,0,,,,,
3314,16.3,-12.27,140.9,0.6926,0.6762,0.0286,0,0,0,,,,,
3316,17.11,-7.05,148.82,0.7176,0.6401,0.0217,0,0,0,,,,,
3318,19.11,-1.06,153.74,0.7517,0.5786,0.0124,0,0,0,,,,,
3321,20.58,2.65,156.45,0.7947,0.5201,0.0029,0,0,0,,,,,
3323,23.12,5.39,161.34,0.8252,0.4659,-0.0049,0,0,0,,,,,
3325,25.71,8.04,165.59,0.8583,0.3997,-0.0105,0,0,0,,,,,
3327,27.27,9.66,162.93,0.8865,0.3581,-0.0121,0,0,0,,,,,
3329,27.64,11.54,148.51,0.934,0.2797,-0.0175,0,0,0,,,,,
3331,24.58,11.41,123.84,0.9766,0.2055,-0.0207,0,0,0,,,,,
3333,18.29,8.48,97.7,0.997,0.1386,-0.0272,0,0,0,,,,,
3335,14.08,7.52,80.62,1.0058,0.115,-0.0298,0,0,0,,,,,
3337,10.58,8.22,64.79,1.0099,0.0935,-0.034,0,0,0,,,,,
3339,6.51,10.39,51.33,1.0139,0.0624,-0.0321,0,0,0,,,,,
3341,2.74,13.7,42.55,1.002,0.0507,-0.025,0,0,0,,,,,
3343,-0.07,16.38,35.46,0.9863,0.0372,-0.0103,0,0,0,,,,,
3345,-1.02,15.77,32.52,0.9805,0.029,0.0044,0,0,0,,,,,
3347,-0.79,13.04,28.43,0.9856,0.0134,0.02,0,0,0,,,,,
3349,-2.2,10.51,21.27,0.993,-0.0112,0.0307,0,0,0,,,,,
3353,-2.53,5.15,12.21,0.9958,-0.0139,0.0398,0,0,0,,,,,
3356,-1.67,-0.64,0.53,0.9975,-0.0153,0.0456,0,0,0,,,,,
3358,1.34,-2.69,0.15,0.9991,-0.0141,0.0431,0,0,0,,,,,
3360,6.48,-0.72,0.09,1.0008,-0.0118,0.0345,0,0,0,,,,,
3362,9.71,-0.8,-0.07,0.9993,-0.0103,0.0442,0,0,0,,,,,
3364,10.34,-1.28,-0.2,1.0002,-0.0101,0.0415,0,0,0,,,,,
3366,8.38,-1.66,-0.27,1.0008,-0.0106,0.0345,0,0,0,,,,,
3368,5.22,-0.75,-0.15,1.0006,-0.0116,0.0305,0,0,0,,,,,
3370,1.58,0.08,-0.13,0.9999,-0.013,0.036,0,0,0,,,,,
3372,-1.51,-0.43,-0.1,0.9999,-0.0154,0.0331,0,0,0,,,,,
3374,-1.7,-0.19,-0.09,0.9997,-0.0161,0.0331,0,0,0,,,,,
3376,-1.65,-0.18,-0.09,0.9999,-0.0164,0.0322,0,0,0,,,,,
3378,-2.94,0.02,-0.12,0.9991,-0.0149,0.0209,0,0,0,,,,,
3380,-6.65,0.57,-0.21,0.999,-0.0154,0.0313,0,0,0,,,,,
3382,-6.86,0.24,-0.15,0.9986,-0.0157,0.0317,0,0,0,,,,,
3384,-6.87,0.09,-0.12,0.9985,-0.0156,0.0327,0,0,0,,,,,
3386,-6.88,-0.3,-0.08,0.9987,-0.0161,0.0297,0,0,0,,,,,
3389,-6.38,-0.12,-0.06,0.999,-0.0169,0.0363,0,0,0,,,,,
3391,-0.69,-0.43,0.01,0.9985,-0.0166,0.0359,0,0,0,,,,,
3393,0.03,-0.18,0.03,0.9993,-0.0162,0.0295,0,0,0,,,,,
3395,0.04,0.23,0,0.9993,-0.0161,0.0304,0,0,0,,,,,
3397,0.05,0.34,-0.11,0.9992,-0.0161,0.0309,0,0,0,,,,,
3399,0.05,0.39,-0.09,0.9992,-0.0155,0.0313,0,0,0,,,,,
3401,0.04,0.22,-0.1,0.9991,-0.0154,0.0313,0,0,0,,,,,
3403,0.04,0.12,-0.09,0.999,-0.0154,0.0316,0,0,0,,,,,
3405,0.05,-0.02,-0.08,0.9988,-0.0154,0.0319,0,0,0,,,,,
3407,0.04,-0.01,-0.02,0.9989,-0.0157,0.0307,0,0,0,,,,,
3409,0.04,-0.24,0.03,0.9987,-0.0158,0.0321,0,0,0,,,,,
3411,0.03,-0.44,0.07,0.9989,-0.016,0.0305,0,0,0,,,,,
3413,0.03,-0.39,0.09,0.9988,-0.0162,0.0299,0,0,0,,,,,
3415,0.02,-0.17,0.09,0.9987,-0.0162,0.0295,0,0,0,,,,,
3417,0.01,0.08,0.08,0.9988,-0.0163,0.0294,0,0,0,,,,,
3419,-0.89,0.2,0.06,0.9992,-0.0154,0.0253,0,0,0,,,,,
3422,-1.95,0.59,-0.01,0.9993,-0.0168,0.0293,0,0,0,,,,,
3424,-2.06,0.53,-0.08,0.9991,-0.017,0.0314,0,0,0,,,,,
3426,-2.06,0.52,-0.17,0.9997,-0.0171,0.0325,0,0,0,,,,,
3428,-2.03,-0.14,-0.24,0.9998,-0.0164,0.0332,0,0,0,,,,,
3430,-2,-0.57,-0.18,0.9997,-0.0166,0.0336,0,0,0,,,,,
3432,-0.04,-0.95,-0.14,0.9995,-0.0162,0.0328,0,0,0,,,,,
3434,0.07,-0.81,-0.12,1,-0.016,0.0304,0,0,0,,,,,
3436,0.1,-0.76,-0.07,0.9997,-0.0156,0.0312,0,0,0,,,,,
3438,0.11,-0.54,0.01,0.9995,-0.0153,0.0294,0,0,0,,,,,
3440,0.11,-0.41,-0.01,0.9992,-0.0158,0.0291,0,0,0,,,,,
3442,0.1,-0.24,-0.02,0.9993,-0.0155,0.0282,0,0,0,,,,,
3444,0.09,-0.01,-0.01,0.9994,-0.0157,0.0292,0,0,0,,,,,
3446,0.07,-0.02,-0.01,0.9992,-0.0157,0.0299,0,0,0,,,,,
3448,0.06,-0.06,-0.01,0.9993,-0.0159,0.0301,0,0,0,,,,,
3450,0.05,-0.07,0,0.9994,-0.0161,0.0303,0,0,0,,,,,
3452,0.05,-0.02,0,0.9993,-0.0163,0.0304,0,0,0,,,,,
3455,0.05,0.01,0,0.9993,-0.016,0.0304,0,0,0,,,,,
3457,0.04,0.02,0,0.9995,-0.016,0.03,0,0,0,,,,,
3459,0.03,0.09,0.01,0.9995,-0.0161,0.0296,0,0,0,,,,,
3461,0.02,0.25,0.04,0.9997,-0.0158,0.0296,0,0,0,,,,,
3463,0.02,0.24,0.06,0.9997,-0.0156,0.0301,0,0,0,,,,,
3465,0.03,0.09,0.03,0.9996,-0.0152,0.0301,0,0,0,,,,,
3467,0.04,-0.02,0.04,0.9995,-0.0153,0.0298,0,0,0,,,,,
3469,0.06,-0.06,0.05,0.9993,-0.0152,0.03,0,0,0,,,,,
3471,0.07,-0.19,0.02,0.9995,-0.0149,0.0301,0,0,0,,,,,
3473,0.07,-0.25,0,0.9994,-0.0148,0.0292,0,0,0,,,,,
3475,0.07,-0.13,0.04,0.9993,-0.0147,0.0286,0,0,0,,,,,
3477,0.06,0.04,0.01,0.9995,-0.0147,0.0287,0,0,0,,,,,
3479,0.06,0.06,0,0.9996,-0.0149,0.029,0,0,0,,,,,
3481,0.05,0.03,0,0.9995,-0.0151,0.0293,0,0,0,,,,,
3483,0.04,0.03,0.01,0.9996,-0.0155,0.0296,0,0,0,,,,,
3486,0.04,0.07,0.01,0.9995,-0.0153,0.0298,0,0,0,,,,,
3489,0.04,0.05,0.07,0.9998,-0.0155,0.0301,0,0,0,,,,,
3491,0.04,0.11,0.04,0.9997,-0.0153,0.0304,0,0,0,,,,,
3493,0.03,0.19,0.04,0.9996,-0.0152,0.0304,0,0,0,,,,,
3495,0.14,0.9,0.17,0.9996,-0.0157,0.0284,0,0,0,,,,,
3497,3.1,1.1,0.31,0.9992,-0.0169,0.0295,0,0,0,,,,,
3499,4.02,1.24,0.33,0.9994,-0.0154,0.0306,0,0,0,,,,,
3501,3.6,2.18,0.35,1,-0.0135,0.0297,0,0,0,,,,,
3503,0.48,6.14,0.47,1.0037,-0.0138,0.0216,0,0,0,,,,,
3505,-1.81,14.31,0.58,1.0062,-0.0137,0.0199,0,0,0,,,,,
3507,-6.57,24.68,0.29,1.0062,-0.0142,0.0295,0,0,0,,,,,
3509,-9.02,31.47,0.09,1.004,-0.0167,0.0404,0,0,0,,,,,
3511,-9.5,38.7,-0.11,0.9997,-0.0186,0.0647,0,0,0,,,,,
3513,-6.81,41.46,-0.13,0.9927,-0.0211,0.0977,0,0,0,,,,,
3515,-3.02,37.29,-0.12,0.9844,-0.0228,0.1343,0,0,0,,,,,
3517,3.92,26.56,0.62,0.9796,-0.0225,0.1587,0,0,0,,,,,
3519,10.12,14.18,1.45,0.9796,-0.0205,0.1691,0,0,0,,,,,
3522,11.5,8.24,1.68,0.9828,-0.0182,0.1652,0,0,0,,,,,
3524,11.63,4.14,1.69,0.9867,-0.0184,0.1575,0,0,0,,,,,
3526,10.51,4.43,1.74,0.9915,-0.0147,0.1505,0,0,0,,,,,
3528,8.02,7.94,2.09,0.995,-0.0127,0.1464,0,0,0,,,,,
3530,3.7,16.37,3.03,0.9988,-0.0135,0.1456,0,0,0,,,,,
3532,-0.94,26.27,3.12,0.9951,-0.0188,0.1577,0,0,0,,,,,
3534,-2.43,32.97,2.15,0.9904,-0.0229,0.1778,0,0,0,,,,,
3536,-2.71,38.41,1.8,0.9863,-0.0243,0.1973,0,0,0,,,,,
3538,-2.67,41.38,1.57,0.9816,-0.0257,0.2128,0,0,0,,,,,
3540,-4.95,45.46,-0.58,0.975,-0.028,0.2332,0,0,0,,,,,
3542,-7.48,51.01,-3.04,0.9704,-0.0266,0.2538,0,0,0,,,,,
3544,-9.46,58.55,-5.86,0.9602,-0.0248,0.2876,0,0,0,,,,,
3546,-11.09,71.57,-7.44,0.9472,-0.023,0.3296,0,0,0,,,,,
3548,-12.77,82.94,-5.99,0.9335,-0.0104,0.3574,0,0,0,,,,,
3550,-13.04,97.53,-3.19,0.9067,0.0049,0.4059,0,0,0,,,,,
3552,-13.08,108.47,-2,0.8759,0.0053,0.46,0,0,0,,,,,
3555,-11.92,115.97,-1.71,0.8441,0.001,0.5126,0,0,0,,,,,
3557,-10.47,119.27,0.95,0.8237,-0.0024,0.5366,0,0,0,,,,,
3559,-9.52,117.07,2.54,0.7836,-0.0199,0.5874,0,0,0,,,,,
3561,-7.38,115.17,0.42,0.7417,-0.0469,0.6396,0,0,0,,,,,
3563,-5.12,116.94,-4.84,0.7038,-0.0629,0.6856,0,0,0,,,,,
3565,-2.45,116.77,-7.19,0.6855,-0.0725,0.7191,0,0,0,,,,,
3567,-1.02,115.93,-4.71,0.6488,-0.0734,0.7639,0,0,0,,,,,
3569,-1.99,112.8,-2.03,0.6121,-0.0742,0.8009,0,0,0,,,,,
3571,-3.41,108.39,-1.1,0.5684,-0.0654,0.8316,0,0,0,,,,,
3573,-4.21,103.94,1.44,0.5174,-0.0614,0.8522,0,0,0,,,,,
3575,-4.82,103.1,5.48,0.4794,-0.0546,0.8672,0,0,0,,,,,
3577,-7.14,100.46,9.07,0.444,-0.0576,0.8897,0,0,0,,,,,
3579,-7.21,95.34,9.29,0.4026,-0.0527,0.9187,0,0,0,,,,,
3581,-2.48,91.08,11.78,0.3491,-0.0467,0.9384,0,0,0,,,,,
3583,0.55,88.54,14.6,0.3237,-0.0516,0.9532,0,0,0,,,,,
3585,1.01,81.9,18.71,0.292,-0.0698,0.9728,0,0,0,,,,,
3588,-0.39,73.95,21.82,0.2511,-0.0717,0.9856,0,0,0,,,,,
3590,-0.1,70.52,25.28,0.1983,-0.0662,0.9844,0,0,0,,,,,
3592,0.24,69.61,30.27,0.1624,-0.0743,0.9806,0,0,0,,,,,
3594,-0.18,69.03,36.33,0.1373,-0.069,0.9784,0,0,0,,,,,
3596,0.67,66.17,37.09,0.1191,-0.0508,0.9796,0,0,0,,,,,
3598,3.61,55.78,34.59,0.0918,-0.0298,0.9795,0,0,0,,,,,
3600,7.65,43.03,30.18,0.0695,-0.0374,0.9866,0,0,0,,,,,
3602,8.09,34.27,27.96,0.0546,-0.0413,0.9999,0,0,0,,,,,
3604,5.08,20.62,21.22,0.0286,-0.0429,1.0087,0,0,0,,,,,
3606,1.14,7.45,11.43,0.0075,-0.0521,1.0166,0,0,0,,,,,
3608,-1.37,1.07,8.86,-0.0048,-0.0652,1.0224,0,0,0,,,,,
3610,-2.91,1.31,9.87,-0.0132,-0.0715,1.0211,0,0,0,,,,,
3612,-3.9,2.43,10.21,-0.0152,-0.0729,1.0171,0,0,0,,,,,
3614,-4.02,3.37,7.1,-0.0091,-0.0726,1.0104,0,0,0,,,,,
3616,-3.42,1.92,4.5,-0.0016,-0.0736,1.0074,0,0,0,,,,,
3620,-0.96,3.58,7.26,-0.0099,-0.0771,1.0036,0,0,0,,,,,
3623,0.28,5.9,8.89,-0.0145,-0.0766,1.0005,0,0,0,,,,,
3625,0.49,6.06,6.14,-0.0108,-0.0699,0.9948,0,0,0,,,,,
3627,0.57,3.31,2.04,-0.0102,-0.069,0.9997,0,0,0,,,,,
3629,1.83,4.57,4.73,-0.016,-0.0717,1.0045,0,0,0,,,,,
3631,1.01,4,4.71,-0.0074,-0.073,1.0062,0,0,0,,,,,
3633,-0.66,0.43,1.53,-0.0005,-0.0731,1.0088,0,0,0,,,,,
3635,-2.01,-3.56,-0.08,-0.0068,-0.0715,1.0127,0,0,0,,,,,
3637,-1.19,-1.74,2.32,-0.0214,-0.0671,1.005,0,0,0,,,,,
3639,-0.56,-1.57,0.19,-0.007,-0.0674,0.9997,0,0,0,,,,,
3641,-0.24,-4.85,-2.82,0.0035,-0.0706,1.003,0,0,0,,,,,
3643,1.84,-3.92,-0.5,-0.0114,-0.0708,1.0051,0,0,0,,,,,
3645,2.12,-2.75,-0.39,-0.008,-0.0731,1.0056,0,0,0,,,,,
3647,1.19,-3.85,-2.27,0.0073,-0.0774,1.0097,0,0,0,,,,,
3649,-1.05,-8.87,-4.21,0.0184,-0.0805,1.0175,0,0,0,,,,,
3651,-1.57,-10.24,-2.31,0.0103,-0.0786,1.0191,0,0,0,,,,,
3653,-1.92,-8.62,0.57,0.0027,-0.0715,1.0111,0,0,0,,,,,
3656,-3.35,-10.36,-1.98,0.0235,-0.0712,1.0048,0,0,0,,,,,
3658,-5.32,-14.28,-3.63,0.0352,-0.0703,1.005,0,0,0,,,,,
3660,-6.2,-17.5,-3.14,0.0319,-0.0687,1.007,0,0,0,,,,,
3662,-5.4,-16.96,-0.74,0.0222,-0.0683,1.0063,0,0,0,,,,,
3664,-4.55,-14.07,0.69,0.0222,-0.0715,1.0037,0,0,0,,,,,
3666,-4.76,-13.26,-1.32,0.0454,-0.0841,1.0045,0,0,0,,,,,
3668,-5.7,-15.32,-1.24,0.0544,-0.0902,1.0114,0,0,0,,,,,
3670,-3.3,-12.21,3.12,0.0421,-0.0945,1.0144,0,0,0,,,,,
3672,-1.41,-6.72,5.56,0.0506,-0.098,1.0077,0,0,0,,,,,
3674,-2.71,-10.96,2.49,0.083,-0.1005,1.0042,0,0,0,,,,,
3676,-5.47,-26.81,0.02,0.0987,-0.0856,1.0124,0,0,0,,,,,
3678,-6.05,-38.79,-1.12,0.1193,-0.0874,1.0183,0,0,0,,,,,
3680,-9.84,-56.08,-6.96,0.1821,-0.0995,1.0197,0,0,0,,,,,
3682,-16.91,-83.13,-12.36,0.2123,-0.1072,1.0246,0,0,0,,,,,
3684,-16.95,-105.77,-10.09,0.2233,-0.1125,1.0141,0,0,0,,,,,
3686,-15.86,-115.99,-7.19,0.2425,-0.1271,0.9889,0,0,0,,,,,
3689,-15.27,-122.51,-8.87,0.2929,-0.1399,0.9451,0,0,0,,,,,
3691,-14.09,-127.96,-9.89,0.3242,-0.1372,0.923,0,0,0,,,,,
3693,-7.33,-131.09,-8.12,0.3641,-0.1346,0.8948,0,0,0,,,,,
3695,-7.17,-126.71,-8.63,0.417,-0.1396,0.8679,0,0,0,,,,,
3697,-11.55,-124.54,-15.25,0.5052,-0.1571,0.8212,0,0,0,,,,,
3699,-11.88,-128.91,-17.38,0.5701,-0.15,0.7958,0,0,0,,,,,
3701,-12.47,-129.36,-15.44,0.5914,-0.1426,0.7785,0,0,0,,,,,
3703,-15.08,-125.09,-12.3,0.6413,-0.1395,0.722,0,0,0,,,,,
3705,-19.31,-124.73,-13.75,0.7111,-0.1376,0.6581,0,0,0,,,,,
3707,-17.3,-129.13,-15.14,0.7462,-0.1221,0.6256,0,0,0,,,,,
3709,-14.44,-128.53,-14.06,0.7685,-0.1162,0.5978,0,0,0,,,,,
3711,-12.38,-124.67,-14.75,0.8198,-0.1195,0.5305,0,0,0,,,,,
3713,-11.73,-124.08,-18.78,0.8579,-0.1254,0.4764,0,0,0,,,,,
3715,-3.7,-117.82,-25.66,0.8836,-0.1256,0.4238,0,0,0,,,,,
