1.0046,-0.0011,0.0033,0.0000,-0.1221,-0.0916,0.70358,-0.00012,-0.71061,-0.00017,0,0,30593762,249
1.0044,0.0004,-0.0021,0.0610,0.0000,-0.0305,0.70364,-0.00012,-0.71055,-0.00017,0,0,30624468,248
1.0021,0.0031,-0.0060,-0.0610,-0.0610,0.0610,0.70365,-0.00011,-0.71055,-0.00018,0,0,30637666,248
1.0049,-0.0043,0.0015,-0.1831,-0.0305,0.0305,0.70364,-0.00010,-0.71055,-0.00020,0,0,30659583,248
0.9984,0.0005,0.0033,0.0305,0.0305,-0.1221,0.70368,-0.00009,-0.71051,-0.00020,0,0,30685858,248
1.0011,-0.0017,0.0004,-0.0305,-0.2747,0.1221,0.70371,-0.00010,-0.71049,-0.00019,0,0,30703345,248
1.0039,0.0006,-0.0029,-0.0305,-0.0916,0.0305,0.70369,-0.00010,-0.71050,-0.00019,0,0,30716472,248
1.0018,-0.0062,-0.0045,0.0610,0.0000,0.0610,0.70369,-0.00012,-0.71051,-0.00017,0,0,30734066,246
1.0033,-0.0026,-0.0020,-0.1526,-0.0916,0.0916,0.70368,-0.00014,-0.71051,-0.00017,0,0,30755964,247
1.0045,0.0012,-0.0035,0.1221,-0.1526,-0.0305,0.70369,-0.00016,-0.71050,-0.00014,0,0,30777824,247
1.0046,0.0024,-0.0059,-0.1526,0.1221,-0.1221,0.70373,-0.00019,-0.71047,-0.00012,0,0,30799701,248
1.0027,0.0017,-0.0054,0.0305,-0.0610,0.0000,0.70371,-0.00016,-0.71049,-0.00015,0,0,30825988,247
1.0013,-0.0039,0.0017,-0.0610,-0.0610,0.0610,0.70372,-0.00017,-0.71047,-0.00014,0,0,30847859,247
1.0009,-0.0066,-0.0034,0.0305,0.0305,-0.0610,0.70368,-0.00019,-0.71052,-0.00011,0,0,30874088,249
1.0035,-0.0021,-0.0038,0.0610,-0.0610,-0.0610,0.70370,-0.00021,-0.71050,-0.00010,0,0,30887287,246
1.0055,-0.0017,0.0001,0.0000,0.0000,-0.0305,0.70368,-0.00025,-0.71052,-0.00007,0,0,30904778,247
1.0033,0.0006,-0.0071,-0.1526,0.0000,0.0610,0.70366,-0.00024,-0.71054,-0.00007,0,0,30922341,247
1.0026,0.0028,-0.0039,-0.0305,-0.1526,0.1526,0.70363,-0.00024,-0.71057,-0.00008,0,0,30935475,249
1.0007,0.0013,-0.0060,0.0305,-0.0305,-0.0610,0.70360,-0.00021,-0.71059,-0.00011,0,0,30952914,249
0.9994,-0.0017,0.0007,-0.0916,0.0000,-0.0305,0.70365,-0.00020,-0.71054,-0.00012,0,0,30970389,248
1.0050,-0.0026,0.0005,0.0916,0.0610,-0.1831,0.70363,-0.00024,-0.71057,-0.00010,0,0,30996575,248
1.0013,-0.0042,-0.0045,-0.0305,0.0305,-0.0610,0.70363,-0.00023,-0.71056,-0.00011,0,0,31014119,249
1.0023,-0.0039,-0.0004,-0.0610,-0.1221,-0.0610,0.70369,-0.00025,-0.71051,-0.00010,0,0,31031627,248
1.0052,-0.0004,0.0026,-0.0916,0.0305,0.0916,0.70371,-0.00023,-0.71049,-0.00012,0,0,31044721,248
1.0034,0.0009,-0.0063,-0.0610,-0.0305,0.0000,0.70368,-0.00022,-0.71051,-0.00014,0,0,31066528,249
1.0043,-0.0029,0.0013,0.0916,-0.0610,-0.0916,0.70370,-0.00022,-0.71049,-0.00014,0,0,31092821,247
1.0043,0.0006,-0.0043,-0.0610,-0.1831,0.0000,0.70371,-0.00022,-0.71049,-0.00015,0,0,31105994,247
